Name, Sex,Birthplace, CityofBirth, State, Age, DOB,Ethnicity, SexualOrientation, Religion, AwardCategory, Movie, Year, NumberofAwards, Country
Katharine Hepburn,Female,"Hartford, Connecticut, United States","Hartford, CT",Connecticut,61,5/12/2007,White,Bisexual,Atheist,Actor,Guess Who's Coming to Dinner,1968,4,United States
Mike Nichols,Male,"Berlin, Germany",NA,NA,37,11/6/1931,White,Straight,Jewish,Director,The Graduate,1968,1,Germany
Rod Steiger,Male,"Westhampton, New York, United States","Westhampton, NY",New York,43,4/14/2025,White,Straight,Lutheran,Actor,In the Heat of the Night,1968,1,United States
Barbra Streisand,Female,"Brooklyn, United States","New York City, NY",New York,27,4/24/1942,White,Straight,Jewish,Actor,Funny Girl,1969,1,United States
Carol Reed,Male,"London, United Kingdom",NA,NA,63,12/30/2006,White,Straight,NA,Director,Oliver!,1969,1,United Kingdom
Cliff Robertson,Male,"La Jolla, California, United States","La Jolla, CA",California,46,9/9/2023,White,Straight,NA,Actor,Charly,1969,1,United States
Jack Albertson,Male,"Malden, Massachusetts, United States","Malden, MA",Massachusetts,62,6/16/2007,White,NA,NA,Actor,The Subject Was Roses,1969,1,United States
Katharine Hepburn,Female,"Hartford, Connecticut, United States","Hartford, CT",Connecticut,62,5/12/2007,White,Bisexual,Atheist,Actor,The Lion in Winter,1969,4,United States
Ruth Gordon,Female,"Quincy, Massachusetts, United States","Quincy, MA",Massachusetts,73,10/30/1896,White,Straight,NA,Actor,Rosemary's Baby,1969,1,United States
Gig Young,Male,"St. Cloud, Minnesota, United States","St. Cloud, MN",Minnesota,57,11/4/2013,White,Straight,NA,Actor,"They Shoot Horses, Don't They?",1970,1,United States
Goldie Hawn,Female,"Silver Springs, Maryland, United States","Silver Springs, MD",Maryland,25,11/21/1945,White,Straight,Buddhist,Actor,Cactus Flower,1970,1,United States
John Schlesinger,Male,"London, United Kingdom",NA,NA,43,2/16/2026,White,Gay,NA,Director,Midnight Cowboy,1970,1,United Kingdom
John Wayne,Male,"Winterset, Iowa, United States","Winterset, IA",Iowa,63,5/26/2007,White,Straight,Roman Catholic,Actor,True Grit,1970,1,United States
Maggie Smith,Female,"Ilford, United Kingdom",NA,NA,36,12/28/2015,White,Straight,NA,Actor,The Prime of Miss Jean Brodie,1970,2,United Kingdom
Franklin J. Schaffner,Male,"Tokyo, Japan",NA,NA,51,5/30/2020,White,Straight,NA,Director,Patton,1971,1,Japan
George C. Scott,Male,"Wise, Virginia, United States","Wise, VA",Virginia,44,10/18/2027,White,Straight,NA,Actor,Patton,1971,1,United States
Glenda Jackson,Female,"Birkenhead, United Kingdom",NA,NA,35,5/9/1936,White,Straight,NA,Actor,Women in Love,1971,2,United Kingdom
Helen Hayes,Female,"Washington, United States","Washington, DC",District of Columbia,71,10/10/1900,White,Straight,NA,Actor,Airport,1971,2,United States
John Mills,Male,"Felixstowe, United Kingdom",NA,NA,63,2/22/2008,White,Straight,NA,Actor,Ryan's Daughter,1971,1,United Kingdom
Ben Johnson,Male,"Shidler, Oklahoma, United States","Shidler, OK",Oklahoma,54,6/13/2018,White,Straight,NA,Actor,The Last Picture Show,1972,1,United States
Cloris Leachman,Female,"Des Moines, Iowa, United States","Des Moines, IA",Iowa,46,4/30/2026,White,Straight,NA,Actor,The Last Picture Show,1972,1,United States
Gene Hackman,Male,"San Bernardino, California, United States","San Bernardino, CA",California,42,1/30/1930,White,Straight,NA,Actor,The French Connection,1972,2,United States
Jane Fonda,Female,"New York City, United States","New York City, NY",New York,35,12/21/1937,White,Straight,Born-Again Christian,Actor,Klute,1972,2,United States
William Friedkin,Male,"Chicago, Illinois, United States","Chicago, IL",Illinois,37,8/29/1935,White,Straight,Jewish,Director,The French Connection,1972,1,United States
Bob Fosse,Male,"Chicago, Illinois, United States","Chicago, IL",Illinois,46,6/23/2027,White,Straight,NA,Director,Cabaret,1973,1,United States
Eileen Heckart,Female,"Columbus, Ohio, United States","Columbus, OH",Ohio,54,3/29/2019,White,Straight,NA,Actor,Butterflies Are Free,1973,1,United States
Joel Grey,Male,"Cleveland, Ohio, United States","Cleveland, OH",Ohio,41,4/11/1932,White,Gay,Jewish,Actor,Cabaret,1973,1,United States
Liza Minnelli,Female,"Los Angeles, California, United States","Los Angeles, CA",California,27,3/12/1946,White,NA,NA,Actor,Cabaret,1973,1,United States
Marlon Brando,Male,"Omaha, Nebraska, United States","Omaha, NE",Nebraska,49,4/3/2024,White,Bisexual,Deist,Actor,The Godfather,1973,2,United States
George Roy Hill,Male,"Minneapolis, Minnesota, United States","Minneapolis, MN",Minnesota,52,12/20/2021,White,Straight,NA,Director,The Sting,1974,1,United States
Glenda Jackson,Female,"Birkenhead, United Kingdom",NA,NA,38,5/9/1936,White,Straight,NA,Actor,A Touch of Class,1974,2,United Kingdom
Jack Lemmon,Male,"Newton, Massachusetts, United States","Newton, MA",Massachusetts,31,2/8/2025,White,Straight,Roman Catholic,Actor,Save the Tiger,1974,2,United States
John Houseman,Male,"Bucharest, Romania",NA,NA,72,9/22/1902,White,Straight,NA,Actor,The Paper Chase,1974,1,Romania
Tatum O'Neal,Female,"Los Angeles, California, United States","Los Angeles, CA",California,11,11/5/1963,White,Straight,NA,Actor,Paper Moon,1974,1,United States
Art Carney,Male,"Mount Vernon, New York, United States","Mount Vernon, NY",New York,57,11/4/2018,White,Straight,NA,Actor,Harry and Tonto,1975,1,United States
Ellen Burstyn,Female,"Detroit, Michigan, United States","Detroit, MI",Michigan,43,12/7/1932,White,Straight,Sufism,Actor,Alice Doesn't Live Here Anymore,1975,1,United States
Francis Ford Coppola,Male,"Detroit, Michigan, United States","Detroit, MI",Michigan,36,4/7/1939,White,Straight,NA,Director,The Godfather Part II,1975,1,United States
Ingrid Bergman,Female,"Stockholm, Sweden",NA,NA,60,8/29/2015,White,Straight,NA,Actor,Murder on the Orient Express,1975,3,Sweden
Robert De Niro,Male,"New York City, United States","New York City, NY",New York,38,8/17/1943,White,Straight,Roman Catholic,Actor,The Godfather Part II,1975,2,United States
George Burns,Male,"New York City, United States","New York City, NY",New York,80,1/20/1896,White,Straight,Jewish,Actor,The Sunshine Boys,1976,1,United States
Jack Nicholson,Male,"New York City, United States","New York City, NY",New York,39,4/22/1937,White,Straight,Atheist,Actor,One Flew Over the Cuckoo's Nest,1976,3,United States
Lee Grant,Female,"New York City, United States","New York City, NY",New York,49,10/31/2027,White,Straight,Jewish,Actor,Shampoo,1976,1,United States
Louise Fletcher,Female,"Birmingham, United States","Birmingham, AL",Alabama,42,7/22/1934,White,Straight,NA,Actor,One Flew Over the Cuckoo's Nest,1976,1,United States
Milos Forman,Male,"Caslav, Czech Republic",NA,NA,44,2/18/1932,White,Straight,NA,Director,One Flew Over the Cuckoo's Nest,1976,2,Czech Republic
Beatrice Straight,Female,"Old Westbury, New York, United States","Old Westbury, NY",New York,63,8/2/2014,White,Straight,NA,Actor,Network,1977,1,United States
Faye Dunaway,Female,"Bascom, United States","Bascom, NY",New York,36,1/14/1941,White,Straight,Roman Catholic,Actor,Network,1977,1,United States
Jason Robards,Male,"Chicago, Illinois, United States","Chicago, IL",Illinois,55,7/26/2022,White,Straight,NA,Actor,All the President's Men,1977,2,United States
John G. Avildsen,Male,"Oak Park, Illinois, United States","Oak Park, IL",Illinois,42,12/21/1935,White,Straight,NA,Director,Rocky,1977,1,United States
Peter Finch,Male,"South Kensington, United Kingdom",NA,NA,61,9/28/2016,White,Straight,NA,Actor,Network,1977,1,United Kingdom
Diane Keaton,Female,"Los Angeles, California, United States","Los Angeles, CA",California,32,1/5/1946,White,Straight,Atheist,Actor,Annie Hall,1978,1,United States
Jason Robards,Male,"Chicago, Illinois, United States","Chicago, IL",Illinois,56,7/26/2022,White,Straight,NA,Actor,Julia,1978,2,United States
Richard Dreyfuss,Male,"Brooklyn, United States","New York City, NY",New York,31,10/29/1947,White,Straight,Jewish,Actor,The Goodbye Girl,1978,1,United States
Vanessa Redgrave,Female,"London, United Kingdom",NA,NA,41,1/30/1937,White,Straight,NA,Actor,Julia,1978,1,United Kingdom
Woody Allen,Male,"Brooklyn, United States","New York City, NY",New York,43,12/1/1935,White,Straight,Jewish,Director,Annie Hall,1978,1,United States
Christopher Walken,Male,"Astoria, United States","Astoria, NY",New York,36,3/31/1943,White,Straight,NA,Actor,The Deer Hunter,1979,1,United States
Jane Fonda,Female,"New York City, United States","New York City, NY",New York,42,12/21/1937,White,Straight,Born-Again Christian,Actor,Coming Home,1979,2,United States
Jon Voight,Male,"Yonkers, New York, United States","Yonkers, NY",New York,41,12/29/1938,White,Straight,Roman Catholic,Actor,Coming Home,1979,1,United States
Maggie Smith,Female,"Ilford, United Kingdom",NA,NA,45,12/28/1934,White,Straight,NA,Actor,California Suite,1979,2,United Kingdom
Michael Cimino,Male,"New York City, United States","New York City, NY",New York,40,2/3/1939,White,Straight,NA,Director,The Deer Hunter,1979,1,United States
Dustin Hoffman,Male,"Los Angeles, California, United States","Los Angeles, CA",California,43,8/8/1937,White,Straight,Jewish,Actor,Kramer vs. Kramer,1980,2,United States
Melvyn Douglas,Male,"Macon, Georgia, United States","Macon, GA",Georgia,79,4/5/1901,White,Straight,Jewish,Actor,Being There,1980,2,United States
Meryl Streep,Female,"Summit, New Jersey, United States","Summit, NJ",New Jersey,63,6/22/1949,White,Straight,NA,Actor,Kramer vs. Kramer,1980,3,United States
Robert Benton,Male,"Waxahachie, Texas, United States","Waxahachie, TX",Texas ,48,9/29/1932,White,Straight,NA,Director,Kramer vs. Kramer,1980,1,United States
Sally Field,Female,"Pasadena, California, United States","Pasadena, CA",California,39,11/6/1946,White,Straight,NA,Actor,Norma Rae,1980,2,United States
Mary Steenburgen,Female,"Newport, Arkansas, United States","Newport, AR",Arkansas,28,2/8/1953,White,Straight,NA,Actor,Melvin and Howard,1981,1,United States
Robert De Niro,Male,"New York City, United States","New York City, NY",New York,32,8/17/1943,White,Straight,Roman Catholic,Actor,Raging Bull,1981,2,United States
Robert Redford,Male,"Santa Monica, California, United States","Santa Monica, CA",California,44,8/18/1936,White,Straight,NA,Director,Ordinary People,1981,1,United States
Sissy Spacek,Female,"Quitman, Texas, United States","Quitman, TX",Texas ,32,12/25/1949,White,Straight,NA,Actor,Coal Miner's Daughter,1981,1,United States
Timothy Hutton,Male,"Malibu, California, United States","Malibu, CA",California,21,8/16/1960,White,Straight,NA,Actor,Oridnary People,1981,1,United States
Henry Fonda,Male,"Grand Island, Nebraska, United States","Grand Island, NE",Nebraska,77,5/16/2005,White,Straight,NA,Actor,On Golden Pond,1982,1,United States
John Gielgud,Male,"London, United Kingdom",NA,NA,78,4/14/2004,White,Gay,NA,Actor,Arthur,1982,1,United Kingdom
Katharine Hepburn,Female,"Hartford, Connecticut, United States","Hartford, CT",Connecticut,75,5/12/2007,White,Bisexual,Atheist,Actor,On Golden Pond,1982,4,United States
Maureen Stapleton,Female,"Troy, New York, United States","Troy, NY",New York,57,6/21/2025,White,Straight,Roman Catholic,Actor,Reds,1982,1,United States
Warren Beatty,Male,"Richmond, Virginia, United States","Richmond, VA",Virginia,45,3/30/1937,White,Straight,Baptist,Director,Reds,1982,1,United States
Ben Kingsley,Male,"Scarborough, United Kingdom",NA,NA,40,12/31/1943,Multiracial,Straight,Quaker,Actor,Gandhi,1983,1,United Kingdom
Jessica Lange,Female,"Cloquet, Minnesota, United States","Cloquet, MN",Minnesota,46,4/20/1949,White,Straight,NA,Actor,Tootsie,1983,2,United States
"Lou Gossett, Jr.",Male,"Brooklyn, United States","New York City, NY",New York,47,5/27/1936,Black,Straight,NA,Actor,An Officer and a Gentleman,1983,1,United States
Meryl Streep,Female,"Summit, New Jersey, United States","Summit, NJ",New Jersey,31,6/22/1949,White,Straight,NA,Actor,Sophie's Choice,1983,3,United States
Richard Attenborough,Male,"Cambridge, United Kingdom",NA,NA,60,8/29/2023,White,Straight,NA,Director,Gandhi,1983,1,United Kingdom
Jack Nicholson,Male,"New York City, United States","New York City, NY",New York,61,4/22/1937,White,Straight,Atheist,Actor,Terms of Endearment,1984,3,United States
James L. Brooks,Male,"North Bergen, New Jersey, United States","North Bergen, NJ",New Jersey,44,5/9/1940,White,Straight,NA,Director,Terms of Endearment,1984,1,United States
Linda Hunt,Female,"Morristown, New Jersey, United States","Morristown, NJ",New Jersey,39,4/2/1945,White,NA,NA,Actor,The Year of Living Dangerously,1984,1,United States
Robert Duvall,Male,"San Diego, California, United States","San Diego, CA",California,53,1/5/1931,White,Straight,NA,Actor,Tender Mercies,1984,1,United States
Shirley MacLaine,Female,"Richmond, Virginia, United States","Richmond, VA",Virginia,50,4/24/1934,White,Straight,Baptist,Actor,Terms of Endearment,1984,1,United States
F. Murray Abraham,Male,"Pittsburgh, Pennsylvania, United States","Pittsburgh, PA",Pennsylvania,46,10/24/1939,Middle Eastern,Straight,NA,Actor,Amadeus,1985,1,United States
Haing S. Ngor,Male,"Samrong Young, Cambodia",NA,NA,45,3/22/1940,Asian,Straight,Buddhist,Actor,The Killing Fields,1985,1,Cambodia
Milos Forman,Male,"Caslav, Czech Republic",NA,NA,53,2/18/1932,White,Straight,NA,Director,Amadeus,1985,2,Czech Republic
Peggy Ashcroft,Female,"Croydon, United Kingdom",NA,NA,78,12/22/2007,White,Straight,Agnostic,Actor,A Passage to India,1985,1,United Kingdom
Sally Field,Female,"Pasadena, California, United States","Pasadena, CA",California,34,11/6/1946,White,Straight,NA,Actor,Places in the Heart,1985,2,United States
Anjelica Huston,Female,"Santa Monica, California, United States","Santa Monica, CA",California,35,7/8/1951,White,Straight,NA,Actor,Prizzi's Honor,1986,1,United States
Don Ameche,Male,"Kenosha, Wisconsin, United States","Kenosha, WI",Wisconsin,82,5/31/2004,White,Straight,Roman Catholic,Actor,Cocoon,1986,1,United States
Geraldine Page,Female,"Kirksville, Missouri, United States","Kirksville, MO",Missouri,62,11/22/2024,White,Straight,NA,Actor,The Trip to Bountiful,1986,1,United States
Sydney Pollack,Male,"Lafayette, Indiana, United States","Lafayette, IN",Indiana,52,7/1/1934,White,Straight,Jewish,Director,Out of Africa,1986,1,United States
William Hurt,Male,"Washington, United States","Washington, DC",District of Columbia,36,3/20/1950,White,Straight,Lutheran,Actor,Kiss of the Spider Woman,1986,1,United States
Dianne Wiest,Female,"Kansas City, Missouri, United States","Kansas City, MO",Missouri,39,3/28/1948,White,Straight,NA,Actor,Hannah and Her Sisters,1987,2,United States
Marlee Matlin,Female,"Morton Grove, Illinois, United States","Morton Grove, IL",Illinois,22,8/24/1965,White,Straight,Jewish,Actor,Children of a Lesser God,1987,1,United States
Michael Caine,Male,"Bermondsey, United Kingdom",NA,NA,54,3/14/1933,White,Straight,NA,Actor,Hannah and Her Sisters,1987,2,United Kingdom
Oliver Stone,Male,"New York City, United States","New York City, NY",New York,40,9/15/1946,White,Straight,Atheist,Director,Platoon,1987,2,United States
Paul Newman,Male,"Shaker Heights, Ohio, United States","Shaker Heights, OH",Ohio,62,1/26/2025,White,Straight,Jewish,Actor,The Color of Money,1987,1,United States
Bernardo Bertolucci,Male,"Parma, Italy",NA,NA,47,3/16/1941,White,Straight,NA,Director,The Last Emperor,1988,1,Italy
Cher,Female,"El Centro, California, United States","El Centro, CA",California,42,5/20/1946,White,Bisexual,NA,Actor,Moonstruck,1988,1,United States
Michael Douglas,Male,"New Brunswick, New Jersey, United States","New Brunswick, NJ",New Jersey,44,9/25/1944,White,Straight,Jewish,Actor,Wall Street,1988,1,United States
Olympia Dukakis,Female,"Lowell, Massachusetts, United States","Lowell, MA",Massachusetts,57,6/20/1931,White,Straight,NA,Actor,Moonstruck,1988,1,United States
Sean Connery,Male,"Edinburgh, United Kingdom",NA,NA,58,8/25/1930,White,Straight,Roman Catholic,Actor,The Untouchables,1988,1,United Kingdom
Barry Levinson,Male,"Baltimore, United States","Baltimore, MD",Maryland,47,4/6/1942,White,Straight,Jewish,Director,Rain Man,1989,1,United States
Dustin Hoffman,Male,"Los Angeles, California, United States","Los Angeles, CA",California,52,8/8/1937,White,Straight,Jewish,Actor,Rainman,1989,2,United States
Geena Davis,Female,"Wareham, Massachusetts, United States","Wareham, MA",Massachusetts,33,1/21/1956,White,Straight,Congregationalist,Actor,The Accidental Tourist,1989,1,United States
Jodie Foster,Female,"Los Angeles, California, United States","Los Angeles, CA",California,27,11/19/1962,White,Lesbian,Atheist,Actor,The Accused,1989,2,United States
Kevin Kline,Male,"St. Louis, Missouri, United States","St. Louis, MO",Missouri,42,10/24/1947,White,Straight,Roman Catholic,Actor,A Fish Called Wanda,1989,1,United States
Brenda Fricker,Female,"Dublin, Ireland",NA,NA,45,2/17/1945,White,Straight,NA,Actor,My Left Foot,1990,1,Ireland
Daniel Day-Lewis,Male,"London, United Kingdom",NA,NA,33,4/29/1957,White,Straight,NA,Actor,My Left Foot,1990,3,United Kingdom
Denzel Washington,Male,"Mount Vernon, New York, United States","Mount Vernon, NY",New York,48,12/28/1954,Black,Straight,Protestant,Actor,Glory,1990,2,United States
Jessica Tandy,Female,"London, United Kingdom",NA,NA,81,6/7/2009,White,Straight,NA,Actor,Driving Miss Daisy,1990,1,United Kingdom
Oliver Stone,Male,"New York City, United States","New York City, NY",New York,44,9/15/1946,White,Straight,Atheist,Director,Born on the Fourth of July,1990,2,United States
Jeremy Irons,Male,"Cowes, United Kingdom",NA,NA,43,9/19/1948,White,Straight,NA,Actor,Reversal of Fortune,1991,1,United Kingdom
Joe Pesci,Male,"Newark, New Jersey, United States","Newark, NJ",New Jersey,48,2/9/1943,White,Straight,NA,Actor,Good Fellas,1991,1,United States
Kathy Bates,Female,"Memphis, Tennessee, United States","Memphis, TN",Tennessee,43,6/28/1948,White,Straight,NA,Actor,Misery,1991,1,United States
Kevin Costner,Male,"Lynwood, California, United States","Lynwood, CA",California,36,1/18/1955,White,Straight,Baptist,Director,Dances with Wolves,1991,1,United States
Whoopi Goldberg,Female,"New York City, United States","New York City, NY",New York,36,11/13/1955,Black,Straight,Atheist,Actor,Ghost,1991,1,United States
Anthony Hopkins,Male,"Port Talbot, United Kingdom",NA,NA,55,12/31/1937,White,Straight,NA,Actor,Silence of the Lambs,1992,1,United Kingdom
Jack Palance,Male,"Lattimer Mines, Pennsylvania, United States","Lattimer Mines, PA",Pennsylvania,73,2/18/2019,White,Straight,NA,Actor,City Slickers,1992,1,United States
Jodie Foster,Female,"Los Angeles, California, United States","Los Angeles, CA",California,30,11/19/1962,White,Lesbian,Atheist,Actor,The Silence of the Lambs,1992,2,United States
Jonathan Demme,Male,"Baldwin, United States","Baldwin, NY",New York,48,2/22/1944,White,Straight,NA,Director,The Silence of the Lambs,1992,1,United States
Mercedes Ruehl,Female,"Queens, New York, United States","New York City, NY",New York,44,2/28/1948,Hispanic,Straight,Roman Catholic,Actor,The Fisher King,1992,1,United States
Al Pacino,Male,"East Harlem, New York, United States","New York City, NY",New York,53,4/25/1940,White,Straight,Roman Catholic,Actor,Scent of a Woman,1993,1,United States
Clint Eastwood,Male,"San Francisco, California, United States","San Francisco, CA",California,63,5/31/1930,White,Straight,NA,Director,Unforgiven,1993,2,United States
Emma Thompson,Female,"London, United Kingdom",NA,NA,34,4/15/1959,White,Straight,NA,Actor,Howards End,1993,1,United Kingdom
Gene Hackman,Male,"San Bernardino, California, United States","San Bernardino, CA",California,63,1/30/1930,White,Straight,NA,Actor,Unforgiven,1993,2,United States
Marisa Tomei,Female,"Brooklyn, United States","New York City, NY",New York,29,12/4/1964,White,Straight,NA,Actor,My Cousin Vinny,1993,1,United States
Anna Paquin,Female,"Winnipeg, Canada",NA,NA,12,7/24/1982,White,Bisexual,NA,Actor,The Piano,1994,1,Canada
Holly Hunter,Female,"Conyers, Georgia, United States","Conyers, GA",Georgia,36,3/20/1958,White,Straight,NA,Actor,The Piano,1994,1,United States
Steven Spielberg,Male,"Cincinnati, Ohio, United States","Cincinnati, OH",Ohio,48,12/18/1946,White,Straight,Jewish,Director,Schindler's List,1994,2,United States
Tom Hanks,Male,"Concord, California, United States","Concord, CA",California,38,7/9/1956,White,Straight,Born-Again Christian,Actor,Philadelphia,1994,2,United States
Tommy Lee Jones,Male,"San Saba, Texas, United States","San Saba, TX",Texas ,48,9/15/1946,White,Straight,NA,Actor,The Fugitive,1994,1,United States
Dianne Wiest,Female,"Kansas City, Missouri, United States","Kansas City, MO",Missouri,47,3/28/1948,White,Straight,NA,Actor,Bullets Over Broadway,1995,2,United States
Jessica Lange,Female,"Cloquet, Minnesota, United States","Cloquet, MN",Minnesota,34,4/20/1949,White,Straight,NA,Actor,Blue Sky,1995,2,United States
Martin Landau,Male,"Brooklyn, United States","New York City, NY",New York,64,6/20/1931,White,Straight,Jewish,Actor,Ed Wood,1995,1,United States
Robert Zemeckis,Male,"Chicago, Illinois, United States","Chicago, IL",Illinois,43,5/14/1952,White,Straight,Roman Catholic,Director,Forrest Gump,1995,1,United States
Tom Hanks,Male,"Concord, California, United States","Concord, CA",California,39,7/9/1956,White,Straight,Born-Again Christian,Actor,Forrest Gump,1995,2,United States
Kevin Spacey,Male,"South Orange, New Jersey, United States","South Orange, NJ",New Jersey,41,7/26/1959,White,Matter of Dispute,NA,Actor,The Usual Suspects,1996,2,United States
Mel Gibson,Male,"Peekskill, New York, United States","Peekskill, NY",New York,40,1/3/1956,White,Straight,Roman Catholic,Director,Braveheart,1996,1,United States
Mira Sorvino,Female,"Tenafly, New Jersey, United States","Tenafly, NJ",New Jersey,29,9/28/1967,White,Straight,Atheist,Actor,Mighty Aphrodite,1996,1,United States
Nicolas Cage,Male,"Long Beach, California, United States","Long Beach, CA",California,32,1/7/1964,White,Straight,Roman Catholic,Actor,Leaving Las Vegas,1996,1,United States
Susan Sarandon,Female,"Queens, New York, United States","New York City, NY",New York,50,10/4/1946,White,Straight,Roman Catholic,Actor,Dead Man Walking,1996,1,United States
Anthony Minghella,Male,"Ryde, United Kingdom",NA,NA,43,1/6/1954,White,Straight,NA,Director,The English Patient,1997,1,United Kingdom
"Cuba Gooding, Jr.",Male,"Bronx, United States","New York City, NY",New York,29,1/2/1968,Black,Straight,NA,Actor,Jerry Maguire,1997,1,United States
Frances McDormand,Female,"Chicago, Illinois, United States","Chicago, IL",Illinois,40,6/23/1957,White,Straight,Disciples of Christ,Actor,Fargo,1997,1,United States
Geoffrey Rush,Male,"Toowoomba, Australia",NA,NA,46,7/6/1951,White,Straight,NA,Actor,Shine,1997,1,Australia
Juliette Binoche,Female,"Paris, France",NA,NA,33,3/9/1964,White,Straight,NA,Actor,The English Patient,1997,1,France
Helen Hunt,Female,"Culver City, California, United States","Culver City, CA",California,35,6/15/1963,White,Straight,NA,Actor,As Good as It Gets,1998,1,United States
Jack Nicholson,Male,"New York City, United States","New York City, NY",New York,47,4/22/1937,White,Straight,Atheist,Actor,As Good as It Gets,1998,3,United States
James Cameron,Male,"Kapuskasing, Canada",NA,NA,44,8/16/1954,White,Straight,Atheist,Director,Titanic,1998,1,Canada
Kim Basinger,Female,"Athens, United States","Athens, GA",Georgia,45,12/8/1953,White,Straight,NA,Actor,L.A. Confidential,1998,1,United States
Robin Williams,Male,"Chicago, Illinois, United States","Chicago, IL",Illinois,47,7/21/1951,White,Straight,Anglican/episcopalian,Actor,Good Will Hunting,1998,1,United States
Gwyneth Paltrow,Female,"Los Angeles, California, United States","Los Angeles, CA",California,27,9/27/1972,White,Straight,Jewish,Actor,Shakespeare in Love,1999,1,United States
James Coburn,Male,"Laurel, Nebraska, United States","Laurel, NE",Nebraska,71,8/31/2028,White,Straight,NA,Actor,Affliction,1999,1,United States
Judi Dench,Female,"York, United Kingdom",NA,NA,65,12/9/1934,White,Straight,Quaker,Actor,Shakespeare in Love,1999,1,United Kingdom
Roberto Benigni,Male,"Arezzo, Italy",NA,NA,47,10/27/1952,White,Straight,NA,Actor,Life is Beautiful,1999,1,Italy
Steven Spielberg,Male,"Cincinnati, Ohio, United States","Cincinnati, OH",Ohio,53,12/18/1946,White,Straight,Jewish,Director,Saving Private Ryan,1999,2,United States
Angelina Jolie,Female,"Los Angeles, California, United States","Los Angeles, CA",California,25,6/4/1975,White,Bisexual,Buddhist,Actor,"Girl, Interrupted",2000,1,United States
Hilary Swank,Female,"Lincoln, Nebraska, United States","Lincoln, NE",Nebraska,26,7/30/1974,White,Straight,NA,Actor,Boys Don't Cry,2000,2,United States
Kevin Spacey,Male,"South Orange, New Jersey, United States","South Orange, NJ",New Jersey,37,7/26/1959,White,Matter of Dispute,NA,Actor,American Beauty,2000,2,United States
Michael Caine,Male,"Bermondsey, United Kingdom",NA,NA,67,3/14/1933,White,Straight,NA,Actor,The Cider House Rules,2000,2,United Kingdom
Sam Mendes,Male,"Reading, United Kingdom",NA,NA,35,8/1/1965,White,Straight,NA,Director,American Beauty,2000,1,United Kingdom
Benicio Del Toro,Male,"Santurce, Puerto Rico",NA,NA,34,2/19/1967,Hispanic,Straight,NA,Actor,Traffic,2001,1,Puerto Rico
Julia Roberts,Female,"Smyrna, Georgia, United States","Smyrna, GA",Georgia,34,10/28/1967,White,Straight,Hindu,Actor,Erin Brockovich,2001,1,United States
Marcia Gay Harden,Female,"La Jolla, California, United States","La Jolla, CA",California,42,8/14/1959,White,Straight,NA,Actor,Pollock,2001,1,United States
Russell Crowe,Male,"Wellington, New Zealand",NA,NA,37,4/7/1964,White,Straight,NA,Actor,Gladiator,2001,1,New Zealand
Steven Soderbergh,Male,"Atlanta, Georgia, United States","Atlanta, GA",Georgia,38,1/14/1963,White,Straight,Atheist,Director,Traffic,2001,1,United States
Denzel Washington,Male,"Mount Vernon, New York, United States","Mount Vernon, NY",New York,36,12/28/1954,Black,Straight,Protestant,Actor,Training Day,2002,2,United States
Halle Berry,Female,"Cleveland, Ohio, United States","Cleveland, OH",Ohio,36,8/14/1966,Multiracial,Straight,NA,Actor,Monster's Ball,2002,1,United States
Jennifer Connelly,Female,"Catskill Mountains, New York, United States","Catskill Mountains, NY",New York,32,12/12/1970,White,Straight,Jewish,Actor,A Beautiful Mind,2002,1,United States
Jim Broadbent,Male,"Lincoln, United Kingdom",NA,NA,53,5/24/1949,White,Straight,NA,Actor,Iris,2002,1,United Kingdom
Ron Howard,Male,"Duncan, Oklahoma, United States","Duncan, OK",Oklahoma,48,3/1/1954,White,Straight,NA,Director,A Beautiful Mind,2002,1,United States
Adrien Brody,Male,"New York City, United States","New York City, NY",New York,30,4/14/1973,White,Straight,Jewish,Actor,The Pianist,2003,1,United States
Catherine Zeta-Jones,Female,"Mumbles, United Kingdom",NA,NA,34,9/25/1969,White,Straight,Roman Catholic,Actor,Chicago,2003,1,United Kingdom
Chris Cooper,Male,"Kansas City, Missouri, United States","Kansas City, MO",Missouri,52,7/9/1951,White,Straight,NA,Actor,Adaptation,2003,1,United States
Nicole Kidman,Female,"Honolulu, Hawaii, United States","Honolulu, HI",Hawaii,36,6/20/1967,White,Straight,Roman Catholic,Actor,The Hours,2003,1,United States
Roman Polanski,Male,"Paris, France",NA,NA,70,8/18/1933,White,Straight,Atheist,Director,The Pianist,2003,1,France
Charlize Theron,Female,"Benoni, South Africa",NA,NA,29,8/7/1975,White,Straight,NA,Actor,Monster,2004,1,South Africa
Peter Jackson,Male,"Wellington, New Zealand",NA,NA,43,10/31/1961,White,Straight,NA,Director,The Lord of the Rings: Return of the King,2004,1,New Zealand
Rene Zellweger,Female,"Katy, Texas, United States","Katy, TX",Texas ,35,4/25/1969,White,Straight,NA,Actor,Cold Mountain,2004,1,United States
Sean Penn,Male,"Burbank, California, United States","Burbank, CA",California,44,8/17/1960,White,Straight,Roman Catholic,Actor,Mystic River,2004,2,United States
Tim Robbins,Male,"West Covina, California, United States","West Covina, CA",California,46,10/16/1958,White,Straight,Roman Catholic,Actor,Mystic River,2004,1,United States
